person_name,screen_name,tweet,time_hour_of_day,hash_tags,media_info,freq,media_tweet_freq,total_tweet_by_user,percentage,hash_count,clean_tweet,sentiment,sentiment_score,compound_sentiment
jimmy fallon,jimmyfallon,It's Hashtags time! Use six words to describe college and tag it with #CollegeInSixWords. Could be on the show!,18,"[{'indices': [70, 88], 'text': 'CollegeInSixWords'}]",No picture / link,7,82,200,3.5000000000000004,1,It's Hashtags time! Use six words to describe college and tag it with #CollegeInSixWords. Could be on the show!,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
jimmy fallon,jimmyfallon,"RT @lamo: Happy Birthday @jimmyfallon!
We hope you enjoyed your gift from @Ninja yesterday. Thanks for giving gamers a spotlight. https://t…",18,[],No picture / link,7,82,200,3.5000000000000004,0,"RT @lamo: Happy Birthday @jimmyfallon!
We hope you enjoyed your gift from @Ninja yesterday. Thanks for giving gamers a spotlight. https://t…",Positive,"{'neg': 0.0, 'neu': 0.432, 'pos': 0.568, 'compound': 0.9545}",0.9545
jimmy fallon,jimmyfallon,Congratulations Marina!! Clash Royale later? https://t.co/WUplJcfZtW,18,[],Has pictures / links ,7,118,200,3.5000000000000004,0,Congratulations Marina!! Clash Royale later? https://t.co/WUplJcfZtW,Positive,"{'neg': 0.0, 'neu': 0.527, 'pos': 0.473, 'compound': 0.6688}",0.6688
jimmy fallon,jimmyfallon,Did I post this? https://t.co/m73WoheDeD,19,[],Has pictures / links ,6,118,200,3.0,0,Did I post this? https://t.co/m73WoheDeD,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
jimmy fallon,jimmyfallon,Thank you @Momtrends!  https://t.co/5i9s8Ammus,19,[],Has pictures / links ,6,118,200,3.0,0,Thank you @Momtrends!  https://t.co/5i9s8Ammus,Positive,"{'neg': 0.0, 'neu': 0.518, 'pos': 0.482, 'compound': 0.4199}",0.4199
jimmy fallon,jimmyfallon,@InfamousAce_410 @TheIrishmanFilm November 1. And New York Film Festival. @TheNYFF,19,[],No picture / link,6,82,200,3.0,0,@InfamousAce_410 @TheIrishmanFilm November 1. And New York Film Festival. @TheNYFF,Positive,"{'neg': 0.0, 'neu': 0.738, 'pos': 0.262, 'compound': 0.4939}",0.4939
jimmy fallon,jimmyfallon,@UK_Falpal @TheIrishmanFilm He is amazing in this.,19,[],No picture / link,6,82,200,3.0,0,@UK_Falpal @TheIrishmanFilm He is amazing in this.,Positive,"{'neg': 0.0, 'neu': 0.612, 'pos': 0.388, 'compound': 0.5859}",0.5859
jimmy fallon,jimmyfallon,@Neuro2343 @TheIrishmanFilm Thanks. We’ve got another fun thing tonight.,19,[],No picture / link,6,82,200,3.0,0,@Neuro2343 @TheIrishmanFilm Thanks. We’ve got another fun thing tonight.,Positive,"{'neg': 0.0, 'neu': 0.53, 'pos': 0.47, 'compound': 0.7351}",0.7351
jimmy fallon,jimmyfallon,Maybe you have a “Crush”? https://t.co/A1eTtcXIFu,19,[],Has pictures / links ,6,118,200,3.0,0,Maybe you have a “Crush”? https://t.co/A1eTtcXIFu,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
jimmy fallon,jimmyfallon,Happy #NationalTVTalkShowHostDay @TheEllenShow. (hem... ahem.),20,"[{'indices': [6, 32], 'text': 'NationalTVTalkShowHostDay'}]",No picture / link,10,82,200,5.0,1,Happy #NationalTVTalkShowHostDay @TheEllenShow. (hem... ahem.),Positive,"{'neg': 0.0, 'neu': 0.519, 'pos': 0.481, 'compound': 0.5719}",0.5719
jimmy fallon,jimmyfallon,"Last year my friend went to a party as Slimer from Ghostbusters. All night everyone kept asking, “Are you the Mucinex Man?” #MyWorstCostume",20,"[{'indices': [124, 139], 'text': 'MyWorstCostume'}]",No picture / link,10,82,200,5.0,1,"Last year my friend went to a party as Slimer from Ghostbusters. All night everyone kept asking, “Are you the Mucinex Man?” #MyWorstCostume",Positive,"{'neg': 0.0, 'neu': 0.772, 'pos': 0.228, 'compound': 0.7096}",0.7096
jimmy fallon,jimmyfallon,It’s Hashtags time! Describe your biggest Halloween costume fail and tag it with #MyWorstCostume. Could be on the show!,20,"[{'indices': [81, 96], 'text': 'MyWorstCostume'}]",No picture / link,10,82,200,5.0,1,It’s Hashtags time! Describe your biggest Halloween costume fail and tag it with #MyWorstCostume. Could be on the show!,Negative,"{'neg': 0.185, 'neu': 0.815, 'pos': 0.0, 'compound': -0.6229}",-0.6229
jimmy fallon,jimmyfallon,Break a leg tonight!!! #OpeningNight https://t.co/isVviPtKbc,20,"[{'indices': [23, 36], 'text': 'OpeningNight'}]",Has pictures / links ,10,118,200,5.0,1,Break a leg tonight!!! #OpeningNight https://t.co/isVviPtKbc,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
jimmy fallon,jimmyfallon,You have to watch @freestylelove supreme on our show tonight. You will never see anything on tv like this.… https://t.co/1aXccu8esM,20,[],Has pictures / links ,10,118,200,5.0,0,You have to watch @freestylelove supreme on our show tonight. You will never see anything on tv like this.… https://t.co/1aXccu8esM,Positive,"{'neg': 0.0, 'neu': 0.747, 'pos': 0.253, 'compound': 0.7269}",0.7269
jimmy fallon,jimmyfallon,@CollegeofStRose @FallonTonight Made my day. Thank you guys!,20,[],No picture / link,10,82,200,5.0,0,@CollegeofStRose @FallonTonight Made my day. Thank you guys!,Positive,"{'neg': 0.0, 'neu': 0.715, 'pos': 0.285, 'compound': 0.4199}",0.4199
jimmy fallon,jimmyfallon,"My friend had a giant hole rusted through the bottom of his car. He would pretend to stop the car with his feet, Fl… https://t.co/MUREUtWsfe",20,[],Has pictures / links ,10,118,200,5.0,0,"My friend had a giant hole rusted through the bottom of his car. He would pretend to stop the car with his feet, Fl… https://t.co/MUREUtWsfe",Positive,"{'neg': 0.129, 'neu': 0.755, 'pos': 0.115, 'compound': 0.1531}",0.1531
jimmy fallon,jimmyfallon,It’s Hashtags time! Tag a tweet with #CarFails and then tell us about a funny or weird thing that happened to you o… https://t.co/gh68K11oEr,20,"[{'indices': [37, 46], 'text': 'CarFails'}]",Has pictures / links ,10,118,200,5.0,1,It’s Hashtags time! Tag a tweet with #CarFails and then tell us about a funny or weird thing that happened to you o… https://t.co/gh68K11oEr,Positive,"{'neg': 0.068, 'neu': 0.803, 'pos': 0.128, 'compound': 0.3595}",0.3595
